fid,id_ecop,id_via,propriedad,vidrao,papelao,embalao,lixo_geral,oleao,pilhao,dep_roupa,lugar,ano_instal,ano_subs,ano_reforc
1,116,918,ERSUC,sim,sim,sim,,,,,Águeda,,,
2,182,1683,ERSUC,sim,sim,sim,,,,,Mourisca do Vouga,,,
3,1,893,CMA,sim,sim,sim,sim,,,,Águeda,,,
4,44,4309,ERSUC,sim,,,,,,,Vale do Grou,,,
5,3,3409,ERSUC,sim,,,,,,,Borralha-Casais,,,
6,4,184,Vários,sim,sim,sim,,sim,,,Borralha-Vista,,,
7,6,3369,ERSUC,sim,sim,sim,,,,,Borralha-Agueiro,,,
8,7,3370,ERSUC,sim,sim,sim,,,,,Borralha-Catraia,,,
9,8,3414,ERSUC,sim,sim,sim,,,,,Borralha-Lomba,,,
10,9,3434,ERSUC,sim,sim,sim,,,,,Candam,,,
11,11,3949,ERSUC,sim,sim,sim,,,,,Póvoa do Vale do Trigo,,,
12,12,3903,ERSUC,sim,sim,sim,,,,,Belazaima do Chão,,,
13,13,3903,ERSUC,sim,,,,,,,Belazaima do Chão,,,
14,14,3903,ERSUC,sim,sim,sim,,,,,Belazaima do Chão,,,
15,15,1099,ERSUC,sim,,,,,,,Falgarosa,,,
16,16,1051,ERSUC,sim,,,,,,,Guistola,,,
17,17,4365,ERSUC,sim,sim,sim,,,,,Lomba,,,
18,18,1050,ERSUC,sim,,,,,,,Vila Mendo,,,
19,19,3590,ERSUC,sim,,,,,,,Falgoselhe,,,
20,20,3508,ERSUC,sim,sim,sim,,,,,Castanheira,,,
21,24,2174,ERSUC,sim,,,,,,,Bolfiar,,,
22,25,2182,ERSUC,sim,sim,sim,,,,,Rio Côvo,,,
23,26,2178,ERSUC,sim,sim,sim,,,,,Raivo,,,
24,28,2172,ERSUC,sim,sim,sim,,,,,Bolfiar,,,
25,30,4328,ERSUC,sim,sim,sim,,,,,Vale Grande,,,
26,31,4222,ERSUC,sim,,,,,,,S. Martinho,,,
27,32,32,Vários,sim,sim,sim,,sim,,,S. Martinho,,,
28,33,4355,ERSUC,sim,sim,sim,,,,,Garrido,,,
29,34,4070,ERSUC,sim,sim,sim,,,,,Cabeço Grande,,,
30,35,4081,ERSUC,sim,,,,,,,Vila,,,
31,36,3692,ERSUC,sim,sim,sim,,,,,Passadouro,,,
32,23,3541,ERSUC,sim,,,,,,,Redonda,,,
33,21,663,ERSUC,sim,sim,sim,,,,sim,Igreja,,,
34,62,1998,ERSUC,sim,sim,sim,sim,,,,Paradela,,,2018
35,38,4120,ERSUC,sim,sim,sim,,,,,Almas da Areosa,,,
